Starting City,Destination City,Distance (km)
Addanki,Adoni,289.5417328544048
Addanki,Akasahebpet,334.2882436696257
Addanki,Akividu,173.08355354725256
Addanki,Akkarampalle,247.50864765201223
Addanki,Amalapuram,233.25330552433732
Addanki,Amudalavalasa,507.85063620459
Addanki,Anakapalle,384.5072161472957
Addanki,Anantapur,308.09850509403157
Addanki,Atmakur,148.50274890597768
Addanki,Attili,199.82679821853478
Addanki,Avanigadda,103.70425900526793
Addanki,Badvel,153.54297512564438
Addanki,Banganapalle,194.96216481378087
Addanki,Bapatla,53.86060611123685
Addanki,Betamcherla,199.50693476821067
Addanki,Bhattiprolu,92.21967390734333
Addanki,Bhimavaram,184.351911195482
Addanki,Bhimunipatnam,436.4585689436417
Addanki,Bobbili,472.9918228151903
Addanki,Challapalle,107.95490160851593
Addanki,Chemmumiahpet,70.42350169767239
Addanki,Chilakalurupet,37.32269851657908
Addanki,Chinnachowk,192.27354221981923
Addanki,Chipurupalle,472.59011411840333
Addanki,Chirala,40.553581462699874
Addanki,Chittoor,286.05312180501255
Addanki,Chodavaram,386.95571790886135
Addanki,Cuddapah,203.15204888168785
Addanki,Cumbum,95.80311348132217
Addanki,Darsi,31.78255828348067
Addanki,Dharmavaram,287.39796677041363
Addanki,Dhone,229.794491254196
Addanki,Diguvametta,130.95020096834966
Addanki,East Godavari,299.6210299491629
Addanki,Elamanchili,362.9486987820582
Addanki,Ellore,156.99001742696427
Addanki,Emmiganur,266.45136544092117
Addanki,Erraguntla,201.6056611152146
Addanki,Etikoppaka,348.8911133122262
Addanki,Gajuwaka,404.193013895978
Addanki,Ganguvada,542.5979597263589
Addanki,Gannavaram,120.11437191022362
Addanki,Giddalur,122.20575677976532
Addanki,Gokavaram,256.7451454643316
Addanki,Gorantla,311.7503963045527
Addanki,"Govindapuram,Chilakaluripet,Guntur",40.69237701324594
Addanki,Gudivada,129.4211722401702
Addanki,Gudlavalleru,129.72748249995485
Addanki,Gudur,185.00719146835937
Addanki,Guntakal Junction,288.66832474341413
Addanki,Guntur,75.04664316345567
Addanki,Hindupur,346.07888600542367
Addanki,Ichchapuram,620.333864429864
Addanki,Jaggayyapeta,121.17774189091375
Addanki,Jammalamadugu,201.41465320459469
Addanki,Kadiri,271.3672375363484
Addanki,Kaikalur,156.0123873826084
Addanki,Kakinada,273.3322323461438
Addanki,Kalyandurg,338.39882281767757
Addanki,Kamalapuram,194.2837564239173
Addanki,Kandukur,66.59947068782253
Addanki,Kanigiri,67.26042526657443
Addanki,Kankipadu,109.61086290185895
Addanki,Kanuru,146.7603567811759
Addanki,Kavali,99.46849027367371
Addanki,Kolanukonda,98.73074486734754
Addanki,Kondapalle,108.57916679438769
Addanki,Korukollu,156.4183462826621
Addanki,Kosigi,291.9516514209062
Addanki,Kovvur,230.32396674720698
Addanki,Krishna,145.16565596662633
Addanki,Kuppam,383.1089171648816
Addanki,Kurnool,177.37319308020818
Addanki,Macherla,93.71582421770519
Addanki,Machilipatnam,131.43653533148165
Addanki,Madanapalle,296.95849824903684
Addanki,Madugula,382.4583973073173
Addanki,Mandapeta,239.23784543591862
Addanki,Mandasa,585.3224936201171
Addanki,Mangalagiri,93.77016750358148
Addanki,Markapur,75.89284076597356
Addanki,Nagari,279.9170465902222
Addanki,Nagireddipalli,195.2275789561628
Addanki,Nandigama,111.95451818685908
Addanki,Nandikotkur,182.75308319419688
Addanki,Nandyal,163.75012662188675
Addanki,Narasannapeta,520.5439963524309
Addanki,Narasapur,196.88938615344748
Addanki,Narasaraopet,47.86880435647646
Addanki,Narasingapuram,254.94658864132202
Addanki,Narayanavanam,268.40355443650094
Addanki,Narsipatnam,348.6751857213448
Addanki,Nayudupet,211.79415115196542
Addanki,Nellore,196.58247347872006
Addanki,Nidadavole,218.35805264557337
Addanki,Nuzvid,143.1652383256285
Addanki,Ongole,34.98109612585063
Addanki,Pakala,278.36215918199014
Addanki,Palakollu,203.37070464496404
Addanki,Palasa,574.7046780823191
Addanki,Palkonda,507.75634353486595
Addanki,Pallevada,164.87680960844438
Addanki,Palmaner,318.880755904568
Addanki,Parlakimidi,547.6310077617732
Addanki,Parvatipuram,493.55933718102943
Addanki,Pavuluru,20.998508657565072
Addanki,Pedana,134.5201733633277
Addanki,pedda nakkalapalem,21.124577401952
Addanki,Peddapuram,270.4359806607748
Addanki,Penugonda,211.14236846141463
Addanki,Penukonda,319.6960077524574
Addanki,Phirangipuram,61.67782832148139
Addanki,Pippara,196.14616976405443
Addanki,Pithapuram,283.1526010266954
Addanki,Polavaram,239.23168606542612
Addanki,Ponnur,68.06447259913007
Addanki,Ponnuru,68.05099404941735
Addanki,Prakasam,61.333718545743054
Addanki,Proddatur,193.06486566429302
Addanki,Pulivendla,243.0732360260924
Addanki,Punganuru,310.7872894664716
Addanki,Puttaparthi,295.6051092864726
Addanki,Puttur,267.2416194739331
Addanki,Rajahmundry,233.85555114234973
Addanki,Ramachandrapuram,247.21002462035574
Addanki,Ramanayyapeta,272.5930255931024
Addanki,Ramapuram,232.99890034506257
Addanki,Rampachodavaram,264.06258962571104
Addanki,Rayachoti,235.09746541587316
Addanki,Rayadrug,356.8596232284956
Addanki,Razam,489.3535389776993
Addanki,Razampeta,199.76609454424403
Addanki,Razole,212.573301031671
Addanki,Renigunta,245.15024709302514
Addanki,Repalle,94.42637557004197
Addanki,Salur,456.57163810194817
Addanki,Samalkot,272.76593375667375
Addanki,Sattenapalle,67.60450790283258
Addanki,Singarayakonda,64.77404128117756
Addanki,Sompeta,600.636565206938
Addanki,Srikakulam,500.5318846698997
Addanki,Srisailain,121.69498022633061
Addanki,Suluru,234.73527640434358
Addanki,Tadepalle,100.37344092581445
