city/town,lat,lon
Addanki,15.81061,79.97338
Adoni Latitude and Longitude,15.62788,77.27495
Akasahebpet Latitude and Longitude,17.50455,82.56597
Akividu Latitude and Longitude,16.58225,81.38112
Akkarampalle Latitude and Longitude,13.65,79.42
Amalapuram Latitude and Longitude,16.57868,82.00609
Amudalavalasa Latitude and Longitude,18.41025,83.90295
Anakapalle Latitude and Longitude,17.69134,83.00395
Anantapur Latitude and Longitude,14.55,77.41667
Atmakur Latitude and Longitude,15.88109,78.58704
Attili Latitude and Longitude,16.7,81.6
Avanigadda Latitude and Longitude,16.02148,80.91808
Badvel Latitude and Longitude,14.7451,79.06288
Banganapalle Latitude and Longitude,15.31771,78.22669
Bapatla Latitude and Longitude,15.90422,80.46743
Betamcherla Latitude and Longitude,15.45144,78.14797
Bhattiprolu Latitude and Longitude,16.1026,80.78074
Bhimavaram Latitude and Longitude,16.54078,81.52322
Bhimunipatnam Latitude and Longitude,17.89017,83.45203
Bobbili Latitude and Longitude,18.57366,83.35925
Challapalle Latitude and Longitude,16.11756,80.93139
Chemmumiahpet Latitude and Longitude,15.89794,79.32129
Chilakalurupet Latitude and Longitude,16.08987,80.16705
Chinnachowk Latitude and Longitude,14.47516,78.8354
Chipurupalle Latitude and Longitude,18.31142,83.56846
Chirala Latitude and Longitude,15.82385,80.35219
Chittoor Latitude and Longitude,13.41667,79
Chodavaram Latitude and Longitude,17.82884,82.93526
Cuddapah Latitude and Longitude,14.41667,78.75
Cumbum Latitude and Longitude,15.58171,79.11059
Darsi Latitude and Longitude,15.76978,79.67939
Dharmavaram Latitude and Longitude,14.41435,77.72035
Dhone Latitude and Longitude,15.3952,77.8715
Diguvametta Latitude and Longitude,15.39507,78.8293
East Godavari Latitude and Longitude,17.83333,81.83333
Elamanchili Latitude and Longitude,17.54907,82.85749
Ellore Latitude and Longitude,16.71311,81.10437
Emmiganur Latitude and Longitude,15.77203,77.48345
Erraguntla Latitude and Longitude,14.63853,78.53974
Etikoppaka Latitude and Longitude,17.5,82.73333
Gajuwaka Latitude and Longitude,17.7,83.21667
Ganguvada Latitude and Longitude,18.66667,84.11667
Gannavaram Latitude and Longitude,16.54092,80.80213
Giddalur Latitude and Longitude,15.37439,78.92609
Gokavaram Latitude and Longitude,17.25823,81.84985
Gorantla Latitude and Longitude,13.98411,77.77224
"Govindapuram,Chilakaluripet,Guntur Latitude and Longitude",16.15477,80.10279
Gudivada Latitude and Longitude,16.43547,80.99555
Gudlavalleru Latitude and Longitude,16.35,81.05
Gudur Latitude and Longitude,14.15093,79.8521
Guntakal Junction Latitude and Longitude,15.17112,77.36244
Guntur Latitude and Longitude,16.29974,80.45729
Hindupur Latitude and Longitude,13.82807,77.49143
Ichchapuram Latitude and Longitude,19.11393,84.68721
Jaggayyapeta Latitude and Longitude,16.8938,80.09807
Jammalamadugu Latitude and Longitude,14.84677,78.38314
Kadiri Latitude and Longitude,14.11168,78.15982
Kaikalur Latitude and Longitude,16.55154,81.214
Kakinada Latitude and Longitude,16.96036,82.23809
Kalyandurg Latitude and Longitude,14.54519,77.10552
Kamalapuram Latitude and Longitude,14.5983,78.66948
Kandukur Latitude and Longitude,15.21542,79.9039
Kanigiri Latitude and Longitude,15.40555,79.50694
Kankipadu Latitude and Longitude,16.4353,80.76715
Kanuru Latitude and Longitude,16.28584,81.25464
Kavali Latitude and Longitude,14.9163,79.99449
Kolanukonda Latitude and Longitude,16.45392,80.61046
Kondapalle Latitude and Longitude,16.61989,80.54244
Korukollu Latitude and Longitude,16.5,81.25
Kosigi Latitude and Longitude,15.8551,77.24463
Kovvur Latitude and Longitude,17.0162,81.72934
Krishna Latitude and Longitude,16.66667,81
Kuppam Latitude and Longitude,12.74931,78.34189
Kurnool Latitude and Longitude,15.58333,78.33333
Macherla Latitude and Longitude,16.47635,79.43533
Machilipatnam Latitude and Longitude,16.18747,81.13888
Madanapalle Latitude and Longitude,13.5503,78.50288
Madugula Latitude and Longitude,17.91589,82.81578
Mandapeta Latitude and Longitude,16.86254,81.92921
Mandasa Latitude and Longitude,18.8683,84.46296
Mangalagiri Latitude and Longitude,16.43083,80.56815
Markapur Latitude and Longitude,15.73534,79.26848
Nagari Latitude and Longitude,13.32139,79.58557
Nagireddipalli Latitude and Longitude,14.27005,79.10131
Nandigama Latitude and Longitude,16.7717,80.28596
Nandikotkur Latitude and Longitude,15.85668,78.26569
Nandyal Latitude and Longitude,15.47799,78.4836
Narasannapeta Latitude and Longitude,18.41428,84.04463
Narasapur Latitude and Longitude,16.43425,81.69845
Narasaraopet Latitude and Longitude,16.23488,80.04927
Narasingapuram Latitude and Longitude,13.60759,79.31652
Narayanavanam Latitude and Longitude,13.42565,79.58881
Narsipatnam Latitude and Longitude,17.66709,82.61245
Nayudupet Latitude and Longitude,13.90742,79.89465
Nellore Latitude and Longitude,14.08333,79.58333
Nidadavole Latitude and Longitude,16.90572,81.67222
Nuzvid Latitude and Longitude,16.78854,80.84593
Ongole Latitude and Longitude,15.50357,80.04454
Pakala Latitude and Longitude,13.44903,79.11493
Palakollu Latitude and Longitude,16.5167,81.73
Palasa Latitude and Longitude,18.77257,84.41012
Palkonda Latitude and Longitude,18.60374,83.75568
Pallevada Latitude and Longitude,16.5779,81.29463
Palmaner Latitude and Longitude,13.2,78.74725
Parlakimidi Latitude and Longitude,18.78113,84.08836
Parvatipuram Latitude and Longitude,18.78392,83.42569
Pavuluru Latitude and Longitude,15.85292,80.16468
Pedana Latitude and Longitude,16.25582,81.14378
pedda nakkalapalem Latitude and Longitude,15.8668,80.16202
Peddapuram Latitude and Longitude,17.07701,82.13836
Penugonda Latitude and Longitude,16.65363,81.7455
Penukonda Latitude and Longitude,14.08286,77.59473
Phirangipuram Latitude and Longitude,16.29078,80.26233
Pippara Latitude and Longitude,16.71667,81.55
Pithapuram Latitude and Longitude,17.1168,82.25284
Polavaram Latitude and Longitude,17.24754,81.64372
Ponnur Latitude and Longitude,16.07114,80.54944
Ponnuru Latitude and Longitude,16.06547,80.55203
Prakasam Latitude and Longitude,15.5,79.5
Proddatur Latitude and Longitude,14.7502,78.54813
Pulivendla Latitude and Longitude,14.42139,78.22502
Punganuru Latitude and Longitude,13.36672,78.57186
Puttaparthi Latitude and Longitude,14.1652,77.8117
Puttur Latitude and Longitude,13.44189,79.55314
Rajahmundry Latitude and Longitude,17.00517,81.77784
Ramachandrapuram Latitude and Longitude,16.83636,82.02871
Ramanayyapeta Latitude and Longitude,16.94516,82.2385
Ramapuram Latitude and Longitude,15.28749,77.86722
Rampachodavaram Latitude and Longitude,17.44088,81.77558
Rayachoti Latitude and Longitude,14.05723,78.75056
Rayadrug Latitude and Longitude,14.69971,76.85241
Razam Latitude and Longitude,18.44909,83.65957
Razampeta Latitude and Longitude,14.19544,79.15896
Razole Latitude and Longitude,16.47608,81.83912
Renigunta Latitude and Longitude,13.65143,79.51256
Repalle Latitude and Longitude,16.0184,80.82958
Salur Latitude and Longitude,18.51716,83.20548
Samalkot Latitude and Longitude,17.05675,82.17639
Sattenapalle Latitude and Longitude,16.39381,80.15221
Singarayakonda Latitude and Longitude,15.23046,80.02794
Sompeta Latitude and Longitude,18.94419,84.58449
Srikakulam Latitude and Longitude,18.2989,83.89751
Srisailain Latitude and Longitude,16.07217,78.86816
Suluru Latitude and Longitude,13.7,80.01667
Tadepalle Latitude and Longitude,16.48333,80.6
Tadepallegudem Latitude and Longitude,16.81467,81.52717
Tadpatri Latitude and Longitude,14.90832,78.01031
Tanuku Latitude and Longitude,16.75438,81.68143
Tekkali Latitude and Longitude,18.6057,84.23546
Tirumala Latitude and Longitude,13.68333,79.35
Tirupati Latitude and Longitude,13.63551,79.41989
Tuni Latitude and Longitude,17.35905,82.54607
Uravakonda Latitude and Longitude,14.94348,77.25494
vadlamuru Latitude and Longitude,17.09545,82.16565
Vadlapudi Latitude and Longitude,14.31119,79.8043
Venkatagiri Latitude and Longitude,13.96005,79.58032
Vepagunta Latitude and Longitude,17.77844,83.21577
Vetapalem Latitude and Longitude,15.78502,80.30663
Vijayawada Latitude and Longitude,16.50745,80.6466
Vinukonda Latitude and Longitude,16.0531,79.73964
Visakhapatnam Latitude and Longitude,17.68009,83.20161
Vizianagaram Latitude and Longitude,18.11692,83.41148
Vizianagaram District Latitude and Longitude,18.41102,83.37677
Vuyyuru Latitude and Longitude,16.36307,80.84406
West Godavari Latitude and Longitude,17,81.16667
Yanam Latitude and Longitude,16.73308,82.21364
Yanamalakuduru Latitude and Longitude,16.48531,80.66746
Yarada Latitude and Longitude,17.65872,83.27419
