Starting City,Destination City,Distance (km)
Addanki,Pavuluru,20.998508657565072
Adoni,Kosigi,25.47324251922842
Akasahebpet,Tuni,16.316021086129748
Akividu,Pallevada,9.230064575115213
Akkarampalle,Tirupati,1.611258330726253
Amalapuram,Razole,21.14155061013259
Amudalavalasa,Srikakulam,12.394858916032586
Anakapalle,Chodavaram,16.9314312951249
Anantapur,Kalyandurg,33.49332439387083
Atmakur,Nandikotkur,34.47772559512489
Attili,Pippara,5.638414435496906
Avanigadda,Repalle,9.46479066436977
Badvel,Chinnachowk,38.73068175019422
Banganapalle,Betamcherla,17.0981501400869
Bapatla,Chirala,15.224875037229303
Betamcherla,Kurnool,24.687818996754697
Bhattiprolu,Repalle,10.71887902837106
Bhimavaram,Pippara,19.765106705513187
Bhimunipatnam,Vizianagaram,25.575506505473815
Bobbili,Salur,17.385395678305606
Challapalle,Repalle,15.489232732466007
Chemmumiahpet,Markapur,18.942495613862807
Chilakalurupet,"Govindapuram,Chilakaluripet,Guntur",9.959824855617118
Chinnachowk,Cuddapah,11.263317190615938
Chipurupalle,Razam,18.0768553708994
Chirala,Vetapalem,6.511801231690196
Chittoor,Pakala,12.940358768903028
Chodavaram,Madugula,15.924036620102845
Cuddapah,Kamalapuram,21.977828640549923
Cumbum,Markapur,24.03338012881479
Darsi,Vinukonda,32.15580500972772
Dharmavaram,Puttaparthi,29.40094320761843
Dhone,Ramapuram,11.985596005716683
Diguvametta,Giddalur,10.628624416369076
East Godavari,Rampachodavaram,44.06545469770532
Elamanchili,Etikoppaka,14.25110846375739
Ellore,Krishna,12.25735235584638
Emmiganur,Kosigi,27.168938255299423
Erraguntla,Proddatur,12.449885529922089
Etikoppaka,Narsipatnam,22.5694232287572
Gajuwaka,Visakhapatnam,2.728855078145137
Ganguvada,Parlakimidi,13.071889611800453
Gannavaram,Kankipadu,12.322395439146089
Giddalur,Nandyal,48.80896585046955
Gokavaram,Rampachodavaram,21.785848675387864
Gorantla,Puttaparthi,20.581154480515597
"Govindapuram,Chilakaluripet,Guntur",Narasaraopet,10.583507039011648
Gudivada,Gudlavalleru,11.138258811220044
Gudlavalleru,Pedana,14.485898168756483
Gudur,Vadlapudi,18.549908245111546
Guntakal Junction,Uravakonda,27.82013769716903
Guntur,Mangalagiri,18.77148138880317
Hindupur,Penukonda,30.44552339718552
Ichchapuram,Sompeta,21.74461298434037
Jaggayyapeta,Nandigama,24.170694192266552
Jammalamadugu,Proddatur,20.73465698395269
Kadiri,Pulivendla,35.14765045033443
Kaikalur,Korukollu,6.897234357278919
Kakinada,Ramanayyapeta,1.6907253792559092
Kalyandurg,Rayadrug,32.20013758395811
Kamalapuram,Proddatur,21.346653803486102
Kandukur,Singarayakonda,13.413319314350211
Kanigiri,Prakasam,10.528666380697182
Kankipadu,Vuyyuru,11.481019963111436
Kanuru,Pedana,12.295153702642178
Kavali,Singarayakonda,35.11713496630159
Kolanukonda,Tadepalle,3.4552231447378734
Kondapalle,Tadepalle,16.377356804365157
Korukollu,Pallevada,9.88249396259138
Kosigi,Ramapuram,91.8192955488427
Kovvur,Rajahmundry,5.300852755602003
Krishna,Nuzvid,21.279639900387977
Kuppam,Palmaner,66.63853221822387
Kurnool,Nandyal,19.909386732215488
Macherla,Vinukonda,57.18495826572916
Machilipatnam,Pedana,7.61815812477545
Madanapalle,Punganuru,21.73344757097896
Madugula,Narsipatnam,35.05454691291539
Mandapeta,Ramachandrapuram,10.98178492711454
Mandasa,Palasa,12.00993715375765
Mangalagiri,Tadepalle,6.7538975607299205
Markapur,Prakasam,36.048671526912
Nagari,Narayanavanam,11.598480284640514
Nagireddipalli,Razampeta,10.365177117174037
Nandigama,Sattenapalle,44.37119526726352
Nandikotkur,Nandyal,48.13953426173882
Nandyal,Ramapuram,69.39491834118579
Narasannapeta,Srikakulam,20.14136657830796
Narasapur,Palakollu,9.765765471286167
Narasaraopet,Sattenapalle,20.808374761440387
Narasingapuram,Tirumala,9.166046411016731
Narayanavanam,Puttur,4.259526007623929
Narsipatnam,Tuni,34.96827127484413
Nayudupet,Suluru,26.562399228534584
Nellore,Venkatagiri,13.711956124068069
Nidadavole,Rajahmundry,15.763478427960203
Nuzvid,Vijayawada,37.78710816067043
Ongole,Singarayakonda,30.420558409077668
Pakala,Tirumala,36.39216256676808
Palakollu,Razole,12.480152044046251
Palasa,Tekkali,26.12948081224452
Palkonda,Razam,19.959773673461687
Pallevada,Pippara,31.27697748428969
Palmaner,Punganuru,26.531861646008014
Parlakimidi,Tekkali,24.91146408927725
Parvatipuram,Salur,37.65782591239239
Pavuluru,pedda nakkalapalem,1.569391657607439
Pedana,Vuyyuru,34.13705996154802
pedda nakkalapalem,Vetapalem,17.945052525241167
Peddapuram,vadlamuru,3.552130415505244
Penugonda,Tanuku,13.117418258794943
Penukonda,Puttaparthi,25.124303305004148
Phirangipuram,Sattenapalle,16.410773638633046
Pippara,Tadepallegudem,11.16490088356739
Pithapuram,vadlamuru,9.565469787910752
Polavaram,Rampachodavaram,25.652599488378552
Ponnur,Ponnuru,0.6885390609403738
Ponnuru,Repalle,30.118624816479706
Prakasam,Singarayakonda,64.05087087389931
Proddatur,Pulivendla,50.45541304544559
Pulivendla,Puttaparthi,52.86773885981488
Punganuru,Rayachoti,79.17071059805482
Puttaparthi,Tadpatri,85.35161240827037
Puttur,Renigunta,23.709145488892368
Rajahmundry,Tanuku,29.71357078313232
Ramachandrapuram,Yanam,22.79195570103761
Ramanayyapeta,Samalkot,14.056457624274222
Ramapuram,Tadpatri,44.87310610661672
Rampachodavaram,vadlamuru,56.48752178604478
Rayachoti,Razampeta,46.64324912549128
Rayadrug,Uravakonda,51.0590366985679
Razam,Vizianagaram District,30.13190908046194
Razampeta,Venkatagiri,52.444412314175885
Razole,Tanuku,35.21278880635051
Renigunta,Tirupati,10.16893346199333
Repalle,Vuyyuru,38.35673415944208
Salur,Vizianagaram District,21.579542298498357
Samalkot,vadlamuru,4.452092262557063
Sattenapalle,Tadepalle,48.78301902413743
Singarayakonda,Vetapalem,68.51376517067838
Sompeta,Tekkali,52.60091300970736
Srikakulam,Tekkali,49.34027313473153
Srisailain,Vinukonda,93.14506771105285
Suluru,Venkatagiri,55.27933002685988
Tadepalle,Vijayawada,5.646098258998247
Tadepallegudem,Tanuku,17.737827762851637
Tadpatri,Uravakonda,81.25342810340433
Tanuku,Yanam,56.71948563029329
Tekkali,Vizianagaram District,93.0950629834622
Tirumala,Tirupati,9.235851475376274
Tirupati,Venkatagiri,40.03016541299371
Tuni,vadlamuru,49.91529581464111
Uravakonda,Venkatagiri,273.2217396304516
vadlamuru,Yanam,40.61585597100993
Vadlapudi,Venkatagiri,45.91072470873821
Venkatagiri,Vetapalem,217.4205684939369
Vepagunta,Visakhapatnam,11.03837739194021
Vetapalem,Vinukonda,67.56034203809827
Vijayawada,Yanamalakuduru,3.3176991454648403
Vinukonda,Yanamalakuduru,110.08219120841488
Visakhapatnam,Yarada,8.048562947760114
Vizianagaram,Vizianagaram District,32.907172653066674
Vizianagaram District,Yarada,84.35212061497757
Vuyyuru,Yanamalakuduru,23.227993473372592
West Godavari,Yanamalakuduru,78.10865969656244
Yanam,Yarada,152.59398755130886
Yanamalakuduru,Yarada,306.25933962933783
